username,followers,reels,avg_views,max_views,avg_comments,max_comments,avg_likes,last_upload_days,posts_per_week,verdict,error
dugundugun45,,,,,,,,,,unknown,
dumbo_muksta,0,12,2682,6063,4.8,13,87.4,11.9,0.4,ok,
easyoppe,0,12,20850,95340,977.2,6806,196.1,0.1,3.4,ok,
easyspoon_baby,0,12,70587,351240,722.4,6645,217.9,1.5,1.4,ok,
editor.pick.tem,0,12,705,4004,25.6,69,16.2,0.0,12.0,ok,
ecowarmwinterplan,0,12,376277,3622786,27.9,200,2078.1,0.1,0.6,ok,
eeel_house,0,12,13285,149270,42.5,477,23.3,0.3,10.5,ok,
eeutzip_sallim,0,12,3089,5801,68.2,137,27.2,101.5,12.0,ok,
eeung.cook,0,12,7710,26091,152.4,461,62.0,0.4,8.4,ok,
eggrollpick,0,12,483322,3035013,7067.0,46884,2268.8,3.2,0.2,ok,
ego_master,0,11,111601,758518,102.5,873,355.2,0.3,0.1,ok,
egomoya_real,0,12,767,1154,0.2,2,1.8,23.0,4.4,ok,
ellys.home,0,12,133212,994213,620.9,2012,3.0,3.4,0.2,ok,
elena_nali,0,12,19268023,106941815,1694.8,15685,454889.3,0.1,0.5,ok,
elmom.home,0,11,108202,1022577,27.3,75,245.5,15.1,0.5,ok,
emerald.lving.home,0,12,17273,180437,29.3,214,60.3,186.4,6.0,ok,
elnazhamai,0,12,13837230,68751299,6420.9,48337,150599.3,0.7,0.4,ok,
emoti_home,0,12,204207,1563427,87.5,240,977.3,157.5,0.8,ok,
endor._.camping,0,12,334728,1786857,2211.1,7035,1343.8,0.2,0.5,ok,
eok_3man,0,12,799,1389,7.3,16,3.1,0.6,4.4,ok,
engji.pick,0,12,76748,405555,247.6,1410,738.2,0.4,7.6,ok,
eoni.daily,0,12,31006,261427,282.0,2300,438.6,0.5,1.2,ok,
eoseo_shop,0,12,8963,39481,81.9,419,78.0,0.3,7.0,ok,
eunyoung__jj,0,12,80417,293840,574.6,2777,3.0,1.3,2.9,ok,
eric.noon,0,12,1909,4059,38.2,103,18.2,16.2,5.6,ok,
eric,0,12,346818,3021048,1524.5,16362,6999.5,16.7,0.5,ok,
everyitemm,0,11,5198,48359,38.2,157,17.8,47.3,3.3,ok,
eye_spinning5,0,12,1563,6124,2.2,10,4.3,1.9,6.0,ok,
ez_life_living,0,12,222484,1684859,84.7,456,1480.5,0.2,0.4,ok,
everythingenvy,0,12,740716,5805537,418.5,3863,8303.7,1.6,3.7,ok,
family.pick,0,12,327,846,32.2,94,18.8,233.5,8.4,ok,
fancyfind_homedecor,0,12,163691,1679556,3.7,12,216.2,380.9,42.0,ok,
ez_comfy_life,,,,,,,,,,unknown,
favorite_dony,0,12,146152,715546,2742.9,16517,780.7,3.0,0.2,ok,
fans_item,,,,,,,,,,unknown,
favoritehouse.e,0,12,24919,116682,494.5,4141,109.2,0.9,4.0,ok,
fashionstyle._.s,,,,,,,,,,unknown,
feel._.athome,0,12,107306,421706,729.8,6306,674.7,2.3,0.3,ok,
feel_so_goodtem,0,12,1084,2172,21.9,78,6.2,115.3,6.5,ok,
findroom.co,0,12,313824,1530463,774.1,3334,3.0,0.2,21.0,ok,
fish.bread_living,0,12,18016,72229,431.1,2820,94.2,0.4,10.5,ok,
fitonfit_v,0,12,4068,7470,37.4,110,21.1,54.5,4.7,ok,
frau.heo,0,12,733812,4097762,371.7,1731,8916.6,0.4,0.1,ok,
freetem_,0,12,5503,8253,68.8,182,13.6,5.2,2.9,ok,
foryou_picks,0,12,15810,181507,1134.3,13588,273.8,5.0,0.4,ok,
fun_and_happy_risa,0,12,785740,9116921,29.1,78,415.7,0.9,0.2,ok,
fromjolie_home,0,12,61569,279345,407.8,3251,220.8,1.0,7.6,ok,
fun_stuffs75,0,12,2606450,23865240,2446.9,27587,80996.5,0.0,0.5,ok,
