채널ID,등급,상태,평균조회수,최대조회수,평균댓글,최대댓글,평균좋아요,마지막업로드(일전),주당업로드,주소
coconesallim,D,활성,599,1239,9.0,15,4.8,1.4,6.0,https://www.instagram.com/coconesallim/
charm._.tem,D,활성,566,1613,12.6,23,8.5,5.0,1.0,https://www.instagram.com/charm._.tem/
picknliving,D,활성,565,3208,7.3,41,6.6,0.4,7.6,https://www.instagram.com/picknliving/
heily__store,D,활성,541,1410,0.7,4,3.0,0.2,14.0,https://www.instagram.com/heily__store/
2_zzangu,D,활성,538,1419,20.3,57,8.2,3.0,6.0,https://www.instagram.com/2_zzangu/
gamsung_salrim,D,활성,526,1218,12.5,26,8.7,2.5,5.2,https://www.instagram.com/gamsung_salrim/
sallim_on_,D,활성,486,2089,17.5,27,10.8,9.0,4.2,https://www.instagram.com/sallim_on_/
life_peak7,D,저활동(14일+),449,1289,1.8,4,4.3,38.2,1.4,https://www.instagram.com/life_peak7/
oh_daily_picks,D,활성,440,1701,7.8,25,8.0,8.2,4.9,https://www.instagram.com/oh_daily_picks/
temh_ouse,D,활성,432,1787,0.8,6,0.3,1.1,12.0,https://www.instagram.com/temh_ouse/
aljja_item,D,활성,426,1430,6.8,20,3.9,6.3,5.2,https://www.instagram.com/aljja_item/
sunsun_rich,D,활성,418,911,3.0,8,3.2,0.9,5.2,https://www.instagram.com/sunsun_rich/
happy_chachacha60,D,저활동(14일+),397,1331,0.0,0,0.4,28.0,2.4,https://www.instagram.com/happy_chachacha60/
home.n.picks,D,활성,395,576,13.8,19,9.0,1.1,3.0,https://www.instagram.com/home.n.picks/
stae._.pick,D,활성,369,789,1.2,5,1.0,0.2,2.2,https://www.instagram.com/stae._.pick/
jabd_ongsan2,D,저활동(14일+),361,546,10.8,29,6.8,55.1,4.4,https://www.instagram.com/jabd_ongsan2/
homemaking11,D,저활동(14일+),334,458,2.0,4,1.7,19.0,1.8,https://www.instagram.com/homemaking11/
jerryhome33,D,활성,312,532,1.2,4,0.4,0.0,16.8,https://www.instagram.com/jerryhome33/
golladrim,D,활성,302,978,3.0,5,1.1,7.5,7.6,https://www.instagram.com/golladrim/
daily.item.up,D,활성,292,491,26.0,32,15.8,0.9,8.4,https://www.instagram.com/daily.item.up/
picku.kr,D,저활동(14일+),277,627,15.2,22,14.2,52.5,2.4,https://www.instagram.com/picku.kr/
hyeonohx,D,저활동(14일+),216,676,0.9,3,5.3,32.8,1.7,https://www.instagram.com/hyeonohx/
bible0103,D,활성,197,387,0.8,2,2.0,0.2,7.6,https://www.instagram.com/bible0103/
altem,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/altem/
androf,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/androf/
antenna_view,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/antenna_view/
arum_home,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/arum_home/
baek,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/baek/
balrabom,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/balrabom/
bbgr,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/bbgr/
becky.becca.me,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/becky.becca.me/
beehub,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/beehub/
changsu.1999,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/changsu.1999/
daily.daily.home,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/daily.daily.home/
dam.a._.dum,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/dam.a._.dum/
daolmarket,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/daolmarket/
doodlely,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/doodlely/
doodlely93,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/doodlely93/
dorodong33,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/dorodong33/
doto8243,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/doto8243/
fans_item,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/fans_item/
fashionstyle._.s,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/fashionstyle._.s/
g_home,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/g_home/
girin.home,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/girin.home/
heyude_official,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/heyude_official/
home_range,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/home_range/
homekeyring,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/homekeyring/
homevibe,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/homevibe/
honeyhoney_4,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/honeyhoney_4/
honeyhoney_6,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/honeyhoney_6/
jevi._.tem,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/jevi._.tem/
johana,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/johana/
mandacreative,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/mandacreative/
menu__matjip,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/menu__matjip/
myhousedecor_finds,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/myhousedecor_finds/
nana_momstory,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/nana_momstory/
